00:27:31.038 -> BLE device is ready and broadcasting
00:27:36.089 -> FSR Initial Value: 83.60, Flex Initial Value: 1.00
00:27:51.065 -> FSR Change: 9.20, Flex Change: 1.20
00:28:06.084 -> FSR Change: -8.40, Flex Change: 0.00
00:28:21.049 -> FSR Change: 12.80, Flex Change: 1.20
00:28:36.069 -> FSR Change: -5.80, Flex Change: 0.60
00:28:51.061 -> FSR Change: 9.60, Flex Change: 1.40
00:29:06.068 -> FSR Change: -3.00, Flex Change: 1.00
00:29:21.094 -> FSR Change: 12.60, Flex Change: 3.80
00:29:36.050 -> FSR Change: -3.80, Flex Change: 0.00
00:29:51.050 -> FSR Change: 0.60, Flex Change: -0.40
00:30:06.082 -> FSR Change: 15.60, Flex Change: -1.00
00:30:21.054 -> FSR Change: 4.60, Flex Change: 2.20
00:30:36.096 -> FSR Change: 8.00, Flex Change: 3.60
00:30:51.080 -> FSR Change: -6.00, Flex Change: 0.60
00:31:06.095 -> FSR Change: 15.80, Flex Change: 0.00
00:31:21.051 -> FSR Change: 24.20, Flex Change: 0.20
00:31:36.051 -> FSR Change: -28.00, Flex Change: -0.20
00:31:51.092 -> FSR Change: 27.40, Flex Change: -0.20
00:32:06.070 -> FSR Change: -42.60, Flex Change: 1.40
00:32:21.052 -> FSR Change: -0.40, Flex Change: 2.00
00:32:36.053 -> FSR Change: 31.80, Flex Change: 1.40
00:32:51.060 -> FSR Change: 22.20, Flex Change: 0.20
00:33:06.082 -> FSR Change: -24.80, Flex Change: 0.60
00:33:21.095 -> FSR Change: 31.40, Flex Change: 0.20
00:33:36.052 -> FSR Change: 12.20, Flex Change: 3.20
00:33:51.067 -> FSR Change: -51.00, Flex Change: 6.20
00:34:06.053 -> FSR Change: -47.00, Flex Change: 2.20
00:34:21.079 -> FSR Change: -55.40, Flex Change: -0.40
00:34:36.052 -> FSR Change: 6.60, Flex Change: 0.00
00:34:51.052 -> FSR Change: 25.00, Flex Change: 0.00
00:35:06.053 -> FSR Change: -24.80, Flex Change: 0.00
00:35:21.071 -> FSR Change: 18.00, Flex Change: -0.20
00:35:36.052 -> FSR Change: 4.60, Flex Change: 0.00
00:35:51.052 -> FSR Change: -21.80, Flex Change: 6.00
00:36:06.052 -> FSR Change: -3.40, Flex Change: 0.40
00:36:21.083 -> FSR Change: 5.40, Flex Change: 0.80
00:36:36.080 -> FSR Change: -0.20, Flex Change: 0.20
00:36:51.053 -> FSR Change: 7.00, Flex Change: 1.80
00:37:06.076 -> FSR Change: 5.20, Flex Change: 0.20
00:37:21.096 -> FSR Change: 7.20, Flex Change: -0.80
00:37:36.053 -> FSR Change: 7.20, Flex Change: 0.00
00:37:51.095 -> FSR Change: 11.80, Flex Change: 3.40
00:38:06.072 -> FSR Change: -4.80, Flex Change: 0.60
00:38:21.083 -> FSR Change: 1.00, Flex Change: 0.20
00:38:36.089 -> FSR Change: 3.80, Flex Change: -1.00
00:38:51.089 -> FSR Change: 11.80, Flex Change: -0.60
00:39:06.054 -> FSR Change: -6.80, Flex Change: -0.40
00:39:21.073 -> FSR Change: 14.00, Flex Change: 0.00
00:39:36.055 -> FSR Change: -6.60, Flex Change: 1.00
00:39:51.055 -> FSR Change: 10.00, Flex Change: 6.20
00:40:06.097 -> FSR Change: 0.20, Flex Change: 0.40
00:40:21.102 -> FSR Change: 10.20, Flex Change: -0.40
00:40:36.056 -> FSR Change: -1.60, Flex Change: 0.60
00:40:51.056 -> FSR Change: 2.40, Flex Change: 0.80
00:41:06.056 -> FSR Change: 11.40, Flex Change: 13.00
00:41:21.075 -> FSR Change: 10.20, Flex Change: 1.60
00:41:36.097 -> FSR Change: 5.40, Flex Change: 0.80
00:41:51.087 -> FSR Change: -1.60, Flex Change: 7.00
00:42:06.089 -> FSR Change: 2.40, Flex Change: 2.60
00:42:21.074 -> FSR Change: 8.00, Flex Change: 0.80
00:42:36.085 -> FSR Change: 1.80, Flex Change: 0.40
00:42:51.089 -> FSR Change: -0.20, Flex Change: -0.40
00:43:06.086 -> FSR Change: -4.60, Flex Change: -0.40
00:43:21.058 -> FSR Change: 7.40, Flex Change: 1.00
00:43:36.086 -> FSR Change: -5.80, Flex Change: 0.00
00:43:51.085 -> FSR Change: -3.40, Flex Change: 0.00
00:44:06.072 -> FSR Change: 4.00, Flex Change: 2.20
00:44:21.059 -> FSR Change: 12.20, Flex Change: -0.40
00:44:36.083 -> FSR Change: -0.60, Flex Change: -0.40
00:44:51.097 -> FSR Change: -12.00, Flex Change: -0.20
00:45:06.060 -> FSR Change: 24.00, Flex Change: -0.20
